iter	Passed	Remaining
447	1104	1360
448	1106	1357
449	1107	1354
450	1109	1350
451	1111	1347
452	1113	1344
453	1114	1340
454	1117	1339
455	1120	1336
456	1121	1333
457	1123	1329
458	1125	1326
459	1127	1323
460	1129	1320
461	1131	1317
462	1132	1313
463	1134	1310
464	1136	1307
465	1138	1304
466	1140	1302
467	1143	1299
468	1145	1296
469	1147	1293
470	1149	1290
471	1151	1287
472	1153	1284
473	1155	1281
474	1156	1278
475	1158	1275
476	1162	1274
477	1164	1271
478	1166	1268
479	1167	1265
480	1169	1262
481	1171	1258
482	1173	1255
483	1175	1252
484	1176	1249
485	1178	1246
486	1180	1243
487	1183	1242
488	1186	1239
489	1187	1236
490	1189	1233
491	1191	1230
492	1193	1227
493	1195	1224
494	1196	1221
495	1198	1217
496	1200	1214
497	1202	1211
498	1203	1208
499	1207	1207
500	1209	1204
501	1211	1201
502	1212	1198
503	1214	1195
504	1216	1192
505	1218	1189
506	1220	1186
507	1221	1183
508	1223	1180
509	1225	1177
510	1228	1175
511	1231	1173
512	1233	1170
513	1234	1167
514	1236	1164
515	1238	1161
516	1240	1158
517	1242	1155
518	1243	1152
519	1245	1149
520	1247	1146
521	1249	1143
522	1252	1142
523	1254	1139
524	1256	1136
525	1258	1134
526	1260	1131
527	1262	1128
528	1264	1126
529	1266	1123
530	1268	1120
531	1270	1117
532	1272	1114
533	1274	1112
534	1276	1109
535	1278	1106
536	1280	1103
537	1282	1101
538	1283	1098
539	1285	1095
540	1287	1092
541	1289	1089
542	1291	1086
543	1293	1083
544	1295	1081
545	1297	1078
546	1299	1076
547	1301	1073
548	1303	1070
549	1304	1067
550	1306	1064
551	1308	1062
552	1310	1059
553	1312	1056
554	1313	1053
555	1315	1050
556	1318	1048
557	1320	1046
558	1322	1043
559	1324	1040
560	1326	1037
561	1327	1034
562	1329	1032
563	1331	1029
564	1333	1026
565	1335	1023
566	1336	1020
567	1338	1018
568	1342	1017
569	1344	1014
570	1347	1012
571	1349	1009
572	1351	1007
573	1353	1004
574	1355	1002
575	1357	999
576	1359	996
577	1361	994
578	1364	992
579	1366	989
580	1368	986
581	1369	983
582	1371	981
583	1373	978
584	1375	975
585	1377	972
586	1378	970
587	1380	967
588	1382	964
589	1386	963
590	1388	960
591	1389	957
592	1391	955
593	1393	952
594	1395	949
595	1397	947
596	1399	944
597	1400	941
598	1402	939
599	1404	936
600	1406	933
601	1410	932
602	1412	929
603	1413	927
604	1415	924
605	1417	921
606	1419	919
607	1421	916
608	1423	913
609	1424	910
610	1427	908
611	1429	906
612	1431	903
613	1433	901
614	1436	898
615	1438	896
616	1440	893
617	1442	891
618	1443	888
619	1445	886
620	1447	883
621	1449	880
622	1453	879
623	1455	876
624	1456	874
625	1458	871
626	1460	868
627	1462	866
628	1464	863
629	1466	860
630	1467	858
631	1469	855
632	1471	853
633	1475	851
634	1476	848
635	1478	846
636	1480	843
637	1483	841
638	1484	838
639	1486	836
640	1488	833
641	1490	830
642	1491	828
643	1493	825
644	1497	824
645	1499	821
646	1501	818
647	1502	816
648	1504	813
649	1506	811
650	1508	808
651	1510	806
652	1512	803
653	1513	800
654	1515	798
655	1517	795
656	1520	793
657	1522	791
658	1524	788
659	1526	786
660	1528	784
661	1530	781
662	1532	779
663	1534	776
664	1536	773
665	1538	771
666	1540	769
667	1544	767
668	1546	765
669	1548	762
670	1550	760
671	1552	757
672	1555	755
673	1557	753
674	1559	750
675	1561	748
676	1564	746
677	1567	744
678	1569	742
679	1572	739
680	1574	737
681	1577	735
682	1580	733
683	1582	731
684	1585	729
685	1590	727
686	1592	725
687	1595	723
688	1598	721
689	1601	719
690	1604	717
691	1607	715
692	1612	714
693	1615	712
694	1618	710
695	1621	708
696	1623	705
697	1626	703
698	1629	701
699	1631	699
700	1636	697
701	1638	695
702	1640	693
703	1642	690
704	1645	688
705	1647	685
706	1649	683
707	1651	681
708	1653	678
709	1657	677
710	1659	674
711	1661	672
712	1664	669
713	1666	667
714	1669	665
715	1671	662
716	1673	660
717	1675	657
718	1677	655
719	1681	654
720	1683	651
721	1686	649
722	1688	646
723	1691	644
724	1694	642
725	1696	640
726	1699	638
727	1704	636
728	1706	634
729	1708	632
730	1710	629
731	1712	627
732	1714	624
733	1717	622
734	1719	619
735	1721	617
736	1723	615
737	1726	612
738	1729	610
739	1731	608
740	1734	606
741	1737	603
742	1739	601
743	1741	599
744	1744	597
745	1748	595
746	1751	593
747	1753	590
748	1755	588
749	1757	585
750	1759	583
751	1761	581
752	1764	578
753	1766	576
754	1770	574
755	1773	572
756	1775	569
757	1777	567
758	1780	565
759	1782	562
760	1784	560
761	1787	558
762	1789	555
763	1793	554
764	1796	551
765	1798	549
766	1800	546
767	1802	544
768	1804	541
769	1806	539
770	1808	537
771	1811	534
772	1815	533
773	1818	530
774	1821	528
775	1823	526
776	1826	524
777	1828	521
778	1831	519
779	1833	517
780	1835	514
781	1839	512
782	1841	510
783	1843	507
784	1845	505
785	1847	502
786	1849	500
787	1851	498
788	1853	495
789	1855	493
790	1857	490
791	1861	488
792	1863	486
793	1865	483
794	1867	481
795	1869	479
796	1871	476
797	1873	474
798	1875	471
799	1877	469
800	1878	466
801	1880	464
802	1883	462
803	1885	459
804	1887	457
805	1889	454
806	1891	452
807	1893	449
808	1895	447
809	1900	445
810	1902	443
811	1903	440
812	1906	438
813	1909	436
814	1914	434
815	1917	432
816	1919	430
817	1921	427
818	1923	425
819	1925	422
820	1929	420
821	1931	418
822	1933	415
823	1935	413
824	1937	410
825	1939	408
826	1942	406
827	1945	404
828	1947	401
829	1952	399
830	1954	397
831	1956	395
832	1958	392
833	1960	390
834	1962	387
835	1964	385
836	1965	382
837	1967	380
838	1969	377
839	1971	375
840	1974	373
841	1976	370
842	1978	368
843	1980	365
